Epoch,Perplexity
1,4.092469
2,4.018962
3,3.993583
4,3.981062
5,3.973850
6,3.969277
7,3.957670
8,3.957898
9,3.954205
10,3.954459
11,3.953342
12,3.953069
13,3.953000
14,3.952983
15,3.952979
16,3.952978
17,3.952978
18,3.952978
19,3.952978
20,3.952978
21,3.952978
22,3.952978
23,3.952978
24,3.952978
25,3.952978
26,3.952978
27,3.952978
28,3.952978
29,3.952978
30,3.952978
31,3.952978
32,3.952978
33,3.952978
34,3.952978
35,3.952978
36,3.952978
37,3.952978
38,3.952978
39,3.952978
40,3.952978
