Epoch,Perplexity
1,3.615790
2,3.205416
3,3.000774
4,2.871296
5,2.761511
6,2.662584
7,2.555768
8,2.451397
9,2.345906
10,2.246320
11,2.153292
12,2.066172
13,1.990672
14,1.925680
15,1.875351
16,1.817638
17,1.773737
18,1.728954
19,1.699445
20,1.664951
21,1.637748
22,1.611865
23,1.596518
24,1.572142
25,1.556304
26,1.532653
27,1.524499
28,1.503382
29,1.491694
30,1.482183
31,1.467526
32,1.458128
33,1.451683
34,1.440281
35,1.428204
36,1.421252
37,1.417755
38,1.417964
39,1.411680
40,1.401686
