Epoch,Train_PPL,Valid_PPL,Test_PPL
1,3.6820129203619034,318.07743668893744,
2,3.2534311825627023,216.63936751337184,
3,3.0747775884846,175.4488284539366,
4,2.960219663936271,151.30055339732635,
5,2.8669543116086755,128.60481797043568,
6,2.7937872544147972,113.40857453201684,
7,2.7196679448554693,98.49766526647073,
8,2.6605513994473595,88.73019661013738,
9,2.599924061119122,80.77492594097225,
10,2.538043754874691,74.11359487040767,
11,2.4909775488937447,66.62802447900062,
12,2.439987716999219,61.65622249295591,
13,2.390795926612,56.798563946297115,
14,2.351986417945712,52.70761194054561,
15,2.3139870547863497,50.43371539621208,
16,2.2740853944224613,45.4879603498208,
17,2.2422539911875803,42.253632959232505,
18,2.213584678296686,40.80164725005241,
19,2.1849076977874753,38.303781903823335,
20,2.1649495228226163,36.640377761613486,
21,2.140508336315399,34.25812263950196,
22,2.1195220793595446,32.69754182444955,
23,2.1028090477603647,31.174470767417883,
