Epoch,Train_PPL,Valid_PPL,Test_PPL
1,3.749524629451456,341.55938086421133,
2,3.4459782703874615,239.21695714258558,
3,3.334508507668842,207.92067181513897,
4,3.2664706766563736,190.42982767743598,
5,3.213238571427773,177.69606437065698,
6,3.1767362398112486,172.1968532616458,
7,3.1650919640317277,163.8357067373085,
8,3.137203100824864,158.73780633933117,
9,3.1083050498951916,153.07286687083885,
10,3.095795406514023,150.3688995376669,
11,3.0813407889283053,146.17919245254163,
12,3.0744057027481935,143.72630152889403,
13,3.058718870724707,140.40330975817963,
14,3.0497844040283826,138.62661754096646,
15,3.04779523110072,137.67516958368566,
16,3.034410020082511,133.51960050062772,
17,3.0358959504582135,132.01157151145856,
18,3.021472513748411,130.21880151376493,
19,3.026530433735397,128.35602013587348,
20,3.0119105472551055,126.77482940315302,
21,3.0139214114901782,127.43202502874499,
22,2.9454194674510648,120.6752381070446,
23,2.936404290686165,119.00226561863408,
24,2.932888120503192,118.19501119465306,
25,2.9099177715075304,117.16449491541962,
26,2.9217882820590915,116.61032305795645,
27,2.9124682469016356,115.64254730307137,
28,2.9017118491154497,114.7026494252809,
29,2.903561471064387,114.05373709162468,
30,2.8909913447945335,113.2219401618169,
31,2.888807541272226,112.35422328366487,
32,2.8947691002638325,111.75088830286218,
33,2.8814860905920066,110.95990806222677,
34,2.8829603982595375,110.58983251514924,
35,2.8797771359160866,109.90580246172206,
36,2.8806967534924093,109.38335792595686,
37,2.875104522705561,108.74919154888059,
38,2.8712855607019545,107.92578999430249,
39,2.8636879050320285,107.42976677696464,
40,2.8542189745881354,106.79660660241538,
final,,,72.45195792583564
